epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
99,34331.9,0.96648,0.50682,1.00308,0.58616,0.46791,0.44841,0.21233,1.98121,1.95032,1.66236,0.00203953,0.000679843,0.00203953,0.000679843,0.00203953,0.000679843,0.00203953,0.000679843
100,34900.9,0.97295,0.50987,1.00484,0.61442,0.46761,0.46648,0.21808,1.9852,1.90872,1.67912,0.00202633,0.000675444,0.00202633,0.000675444,0.00202633,0.000675444,0.00202633,0.000675444
101,35352.3,0.95649,0.50437,1.00839,0.61402,0.46615,0.46294,0.21897,2.00145,1.87546,1.6726,0.00201313,0.000671044,0.00201313,0.000671044,0.00201313,0.000671044,0.00201313,0.000671044
102,35735.6,0.97294,0.50566,1.00298,0.61612,0.46717,0.46887,0.22121,2.00433,1.91331,1.68611,0.00199993,0.000666644,0.00199993,0.000666644,0.00199993,0.000666644,0.00199993,0.000666644
103,36116,0.95689,0.49661,1.00058,0.61904,0.46783,0.46283,0.21606,2.00635,1.93285,1.69994,0.00198673,0.000662245,0.00198673,0.000662245,0.00198673,0.000662245,0.00198673,0.000662245
104,36599.5,0.95078,0.49513,0.99402,0.63103,0.45761,0.46133,0.21393,2.004,1.94257,1.69635,0.00197354,0.000657845,0.00197354,0.000657845,0.00197354,0.000657845,0.00197354,0.000657845
105,37338.5,0.96688,0.50125,1.00083,0.61561,0.47301,0.46968,0.22313,1.9899,1.94108,1.6785,0.00196034,0.000653446,0.00196034,0.000653446,0.00196034,0.000653446,0.00196034,0.000653446
106,37778.5,0.9571,0.49653,1.00327,0.60652,0.46371,0.47087,0.2246,1.99081,1.88576,1.67326,0.00194714,0.000649046,0.00194714,0.000649046,0.00194714,0.000649046,0.00194714,0.000649046
107,38266,0.96048,0.50421,0.99973,0.60874,0.46638,0.45962,0.21819,1.99659,1.94718,1.68932,0.00193394,0.000644647,0.00193394,0.000644647,0.00193394,0.000644647,0.00193394,0.000644647
108,38668.8,0.96015,0.49518,0.99601,0.62758,0.46197,0.45995,0.21928,1.99584,1.90329,1.68214,0.00192074,0.000640247,0.00192074,0.000640247,0.00192074,0.000640247,0.00192074,0.000640247
109,39256.3,0.94253,0.49176,0.99475,0.61094,0.46574,0.4657,0.22211,1.99337,1.99549,1.69018,0.00190754,0.000635848,0.00190754,0.000635848,0.00190754,0.000635848,0.00190754,0.000635848
110,39871.3,0.93977,0.48856,0.99302,0.61906,0.46442,0.47217,0.22449,1.98747,1.94312,1.68074,0.00189434,0.000631448,0.00189434,0.000631448,0.00189434,0.000631448,0.00189434,0.000631448
111,40387.1,0.93591,0.48415,0.99064,0.62872,0.46827,0.46628,0.21948,2.00016,1.95774,1.69737,0.00188115,0.000627048,0.00188115,0.000627048,0.00188115,0.000627048,0.00188115,0.000627048
112,41281.5,0.93433,0.49219,0.99938,0.63008,0.47103,0.47026,0.22027,1.99835,1.92277,1.69535,0.00186795,0.000622649,0.00186795,0.000622649,0.00186795,0.000622649,0.00186795,0.000622649
113,41753.8,0.91825,0.48197,0.99194,0.64885,0.46347,0.47472,0.22497,1.98822,1.92479,1.68024,0.00185475,0.000618249,0.00185475,0.000618249,0.00185475,0.000618249,0.00185475,0.000618249
114,42984.9,0.94317,0.49057,0.9879,0.64216,0.4639,0.46559,0.22194,1.99054,1.94246,1.68569,0.00184155,0.00061385,0.00184155,0.00061385,0.00184155,0.00061385,0.00184155,0.00061385
115,43429.7,0.93587,0.48399,0.98631,0.66045,0.45622,0.46955,0.22004,1.99247,1.9608,1.68617,0.00182835,0.00060945,0.00182835,0.00060945,0.00182835,0.00060945,0.00182835,0.00060945
116,43871,0.90977,0.47635,0.98954,0.6308,0.45953,0.46056,0.21657,2.00875,1.95657,1.69611,0.00181515,0.000605051,0.00181515,0.000605051,0.00181515,0.000605051,0.00181515,0.000605051
117,44270.3,0.90557,0.47432,0.98647,0.61028,0.46573,0.45644,0.21691,1.98771,1.93147,1.67697,0.00180195,0.000600651,0.00180195,0.000600651,0.00180195,0.000600651,0.00180195,0.000600651
118,44663.4,0.93814,0.48088,0.98177,0.62129,0.46412,0.46719,0.22224,1.99258,1.9313,1.67208,0.00178875,0.000596251,0.00178875,0.000596251,0.00178875,0.000596251,0.00178875,0.000596251
